Name	Type	Category	Index
TakeMedicine	Good	Health	1
Sleep (8+hours)	Good	Health	2
Nap	Good	Health	3
Standing	Good	Health	4
Walking	Good	Health	5
Running	Good	Health	6
Stretch	Good	Health	7
Exercise	Good	Health	8
Mindfulness	Good	Health	9
Floss	Good	Health	10
Coffee	Good	Habit	11
Shosha	Good	Habit	12
GreenRooibos	Good	Habit	13
English	Good	Study	14
Python	Good	Study	15
VBA	Good	Study	16
Swift	Good	Study	17
Rust	Good	Study	18
JavaScript	Good	Study	19
Marketing	Good	Study	20
Accounting&Finance	Good	Study	21
Economy	Good	Study	22
Operations	Good	Study	23
CorpManagement	Good	Study	24
IT	Good	Study	25
Law	Good	Study	26
SQL	Good	Study	27
AudioBook	Good	Study	28
Business	Good	Study	29
MusicAppreciation	Good	Hobby	30
Blog	Good	Hobby	31
Reading	Good	Hobby	32
Movie	Good	Hobby	33
Cycling	Good	Hobby	34
Climb a mountain	Good	Hobby	35
Programming	Good	Hobby	36
